theme,name,link,text
economics,Возле Красноярской ТЭЦ-1 планируют построить новый жилой комплекс,https://news.mail.ru/economics/63213199/,Новый жилой микрорайон может появиться на окраине Красноярска.
economics,"Экономисты рассказали, спасет ли ОПЕК+ рынок нефти",https://finance.mail.ru/2024-10-15/ekonomisty-rasskazali-spaset-li-opek-rynok-nefti-63163191/,"Конфликт на Ближнем Востоке сделал ситуацию на нефтяном рынке более непредсказуемой, чем в начале пандемии коронавируса. Каким образом он влияет на нефтяную отрасль и сможет ли ОПЕК+ стабилизировать ситуацию, разбирались Финансы Mail."
economics,Старший вице-президент Сбера Ганеев: принципы партнерства — основа деловых отношений,https://news.mail.ru/economics/63222988/,"Накануне VI Российского исламского экономического форума «Россия — гарант партнерства» старший вице-президент Сбербанка Олег Ганеев рассказал «Газете.Ru», как в банке развивается сегмент партнерского финансирования и какое место он занимает в общей стратегии человекоцентричности."
economics,ФАС назвала аномально высокой наценку на хлеб в торговых сетях,https://finance.mail.ru/2024-10-15/fas-nazvala-anomalno-vysokoy-nacenku-na-hleb-v-torgovyh-setyah-63221973/,"СОЧИ, 15 октября. /ТАСС/. Федеральная антимонопольная служба (ФАС) России назвала аномально высокой наценку на хлеб в торговых сетях. Об этом журналистам заявил руководитель службы Максим Шаскольский в кулуарах Всероссийской тарифной конференции."
economics,Бакальчук выступил с новым обвинением в адрес основательницы Wildberries,https://finance.mail.ru/2024-10-15/bakalchuk-vystupil-s-novym-obvineniem-v-adres-osnovatelnicy-wildberries-63222476/,"Миллиардные долги рекламной группы Russ перед банком ВТБ и Федеральной налоговой службой (ФНС) были погашены за счет доходов маркетплейса, написал Владислав Бакальчук, бывший муж основательницы Wildberries Татьяны Ким, в своем Telegram-канале."
economics,Мосбиржа запустит торги платиной и палладием,https://finance.mail.ru/2024-10-15/mosbirzha-zapustit-torgi-platinoy-i-palladiem-63222327/,"Московская биржа расширяет линейку инструментов рынка драгоценных металлов с 21 октября, следует из сообщения ее пресс-службы."
economics,Путин передал «Главпродукт» во временное госуправление,https://finance.mail.ru/2024-10-15/putin-peredal-glavprodukt-vo-vremennoe-gosupravlenie-63221687/,"Указом президента Владимира Путина вводится временное управление в компании — производителе консервов «Главпродукт» (выпускает тушенку, паштеты, каши, шпроты, овощи, сгущенку). Документ размещен на портале правовой информации."
economics,В Европе резко подешевел один энергоноситель,https://finance.mail.ru/2024-10-15/v-evrope-rezko-podeshevel-odin-energonositel-63219641/,"Природный газ в Европе резко подешевел, после того как Израиль пообещал не наносить ударов по нефтяным и ядерным объектам Ирана. Об этом сообщило агентство Bloomberg."
economics,В Турции составили список «налоговых наглецов»,https://finance.mail.ru/2024-10-15/v-turcii-sostavili-spisok-nalogovyh-naglecov-63220087/,"Минфин Турции объявил кампанию по борьбе с неплательщиками налогов из-за масштабов теневой экономики. Власти обнаружили сотни владельцев роскошных автомобилей, не платящих налоги. Данные самых злостных нарушителей опубликуют."
economics,"Россиянам рассказали, где лучше отдыхать с детьми на осенних каникулах",https://finance.mail.ru/2024-10-15/rossiyanam-rasskazali-gde-luchshe-otdyhat-s-detmi-na-osennih-kanikulah-63220111/,Тревел-блогер Наталия Ансталь в интервью NEWS.ru назвала лучшие места для семейных поездок в период осенних каникул. Эксперт рекомендует выбирать южные регионы Турции и Египет.
economics,Дан прогноз на подорожание доллара до 100 рублей,https://finance.mail.ru/2024-10-15/dan-prognoz-na-podorozhanie-dollara-do-100-rubley-63219206/,"Не исключено, что власти России смирились с тем, что российская валюта упадет до 100 рублей за доллар, хотя раньше такие перспективы вызывали очень жесткую политическую реакцию. Об этом сообщило издание Bloomberg."
economics,Генпрокуратура потребовала взыскать с Shell более миллиарда евро убытков,https://finance.mail.ru/2024-10-15/genprokuratura-potrebovala-vzyskat-s-shell-bolee-milliarda-evro-ubytkov-63219535/,"МОСКВА, 15 окт — РИА Новости. Генеральная прокуратура России в своем иске к структурам британо-нидерландской энергетической корпорации Shell требует взыскать с них более 1 миллиарда евро убытков, сообщили РИА Новости в пресс-службе арбитражного суда Москвы."
economics,В российских мегаполисах снизилась стоимость аренды жилья,https://finance.mail.ru/2024-10-15/v-rossiyskih-megapolisah-snizilas-stoimost-arendy-zhilya-63219559/,"В городах Самара и Санкт-Петербург зафиксировано максимальное снижение арендных ставок. Эксперты ожидают, что эта сезонная тенденция будет продолжаться и оказывать влияние на рынок аренды в крупных городах вплоть до начала 2025 года."
economics,АКРА прогнозирует снижение выдачи ипотеки в России больше чем на треть,https://finance.mail.ru/2024-10-15/akra-prognoziruet-snizhenie-vydachi-ipoteki-v-rossii-bolshe-chem-na-tret-63211996/,"МОСКВА, 15 окт — РИА Недвижимость. Выдача ипотеки в России в 2024 году упадет относительно прошлогоднего показателя на 35% — до 5−5,2 триллиона рублей, говорится в обзоре рейтингового агентства АКРА."
economics,Индекс Мосбиржи поднялся выше 2800 пунктов,https://finance.mail.ru/2024-10-15/indeks-mosbirzhi-podnyalsya-vyshe-2800-punktov-63219317/,"Индекс Мосбиржи (IMOEX) вырос на 1,02%, до 2801,63 пункта, свидетельствуют данные торгов на 12:53 мск. В предыдущий раз выше отметки 2800 пунктов бенчмарк был неделю назад — 7 октября 2024 года."
